"","Type","Symbol","Description","GeneID","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"234_s_at","Ligands","PTN","pleiotrophin",5764,"234_s_at",2.01284821983877,8.462135113733,10.1450191853020,8.0552115953062e-06,0.00270836887767945,4.32686847444258
"103_at","Ligands","THBS4","thrombospondin 4",7060,"103_at",1.63421367999110,6.5896635768872,8.639825370709,2.61969825584479e-05,0.00403337688780982,3.18494391278501
"41246_at","Ligands","SERPINE2","serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 2",5270,"41246_at",2.39504777422406,6.88725781464185,8.13261827534873,4.05283004611135e-05,0.00532225005745666,2.75278846226899
"1968_g_at","Ligands","PDGFRA","platelet-derived growth factor receptor, alpha polypeptide",5156,"1968_g_at",1.02603246922816,4.39849254418867,7.97784109562584,4.65051122658156e-05,0.00570026254714488,2.61562199427008
"36924_r_at","Ligands","SCG2","secretogranin II",7857,"36924_r_at",2.97770967793879,7.34004671813841,7.10943114444375,0.000104908549084029,0.00859279464754358,1.79644555610936
"39966_at","Ligands","CSPG5","chondroitin sulfate proteoglycan 5 (neuroglycan C)",10675,"39966_at",2.29723897730963,8.83416233757566,7.0584686213259,0.000110296167149058,0.00859279464754358,1.74561527279961
"35789_at","Ligands","TRAK1","trafficking protein, kinesin binding 1",22906,"35789_at",1.39762074383508,7.06449844974814,6.5086610322685,0.000192745878837123,0.0108151854236386,1.17637505324186
"33426_at","Ligands","CHGB","chromogranin B (secretogranin 1)",1114,"33426_at",1.28998951107168,3.96992366659701,5.68660180246517,0.000474464145965402,0.0187021997398628,0.249342306789128
"40401_at","Ligands","DOK5","docking protein 5",55816,"40401_at",1.39485051532827,4.58260640324537,4.68816036756201,0.00159779653046234,0.0386212796110125,-1.00982188877013
"1364_at","Receptors","PTPRZ1","protein tyrosine phosphatase, receptor-type, Z polypeptide 1",5803,"1364_at",3.12739771844035,7.7990331112148,21.8142414304437,2.27016991002644e-08,0.000286608951140838,9.0886788255259
"32345_at","Receptors","NTRK3","neurotrophic tyrosine kinase, receptor, type 3",4916,"32345_at",2.41583374732981,5.93314994977097,12.5413896715441,1.63623963750084e-06,0.00150160432985069,5.79362343305586
"39572_at","Receptors","GRIK2","glutamate receptor, ionotropic, kainate 2",2898,"39572_at",1.93717841772238,4.87369697182107,9.880762958637,9.796322958301e-06,0.00280266396331844,4.14032199332112
"33182_at","Receptors","NTRK2","neurotrophic tyrosine kinase, receptor, type 2",4915,"33182_at",1.39078328678616,4.62666651845573,9.82653986626844,1.02033981423037e-05,0.00280266396331844,4.10135308490113
"37273_at","Receptors","ERBB4","v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian)",2066,"37273_at",1.36261733397679,4.78386819528002,8.98293515819679,1.97334508265996e-05,0.00366374730420324,3.46295893331678
"36160_s_at","Receptors","PTPRN2","protein tyrosine phosphatase, receptor type, N polypeptide 2",5799,"36160_s_at",1.59465638590401,5.8638623242134,8.74369961042251,2.40201514172075e-05,0.00397586687109167,3.27029390546289
"32288_r_at","Receptors","KLRC3","killer cell lectin-like receptor subfamily C, member 3",3823,"32288_r_at",1.15633653561045,5.01442564046487,8.68560477645205,2.52116256396777e-05,0.00397586687109167,3.22268780575488
